"country_name";"shop_id";"shop_address";"total_sales_count";"total_sales_amount";"country_total";"country_sales_share";"rank_in_country";"country_running_total"
France;45;SHOP0045 Roberson Passage;44173;4623374.0;29386388;0.15733047;1;4623374.0
France;49;SHOP0049 Victor Hill;44245;2881032.5;29386388;0.098039694;2;7504406.5
France;41;SHOP0041 Thomas Streets;38238;2609649.8;29386388;0.088804714;3;10114056
France;46;SHOP0046 Eric Villages;37768;2413399.0;29386388;0.08212642;4;12527455
France;43;SHOP0043 Samuel Hills;31558;2341047.0;29386388;0.079664335;5;14868502
France;36;SHOP0036 Joseph Walk;24806;2191637.0;29386388;0.07458001;6;17060140
France;39;SHOP0039 Jones Manors;18908;1800003.6;29386388;0.061252974;7;18860144
France;42;SHOP0042 Michele Plains;19146;1683951.0;29386388;0.057303775;8;20544096
France;38;SHOP0038 Thomas Crest;31425;1631607.6;29386388;0.055522565;9;22175704
France;44;SHOP0044 Matthew Shore;18650;1303291.0;29386388;0.04435016;10;23478996
France;34;SHOP0034 Pamela Stream;18635;1246824.1;29386388;0.042428628;11;24725820
France;35;SHOP0035 William Roads;18691;1240729.4;29386388;0.042221226;12;25966550
France;40;SHOP0040 Hernandez Trace;12721;853242.0;29386388;0.02903528;13;26819792
France;37;SHOP0037 Tyler Union;18917;800466.5;29386388;0.027239364;14;27620258
France;47;SHOP0047 Dunn Squares;31405;663917.2;29386388;0.022592677;15;28284176
France;48;SHOP0048 Myers Springs;12577;655151.5;29386388;0.022294387;16;28939328
France;50;SHOP0050 Jordan Spurs;12685;447060.0;29386388;0.015213166;17;29386388
Germany;12;SHOP0012 Horn Points;50266;6992800.5;70592688;0.09905843;1;6992800.5
Germany;23;SHOP0023 Rush Manors;62875;6029822.5;70592688;0.0854171;2;13022623
Germany;26;SHOP0026 Murray Path;44446;4583211.5;70592688;0.06492473;3;17605834
Germany;27;SHOP0027 Karen Falls;43999;3729151.5;70592688;0.052826315;4;21334986
Germany;22;SHOP0022 Baker Via;37745;3410602.0;70592688;0.048313815;5;24745588
